type,recipe_id,ingredient,amount_cups
Cupcake,145206,baking.powder,0.0017361083333333333
Cupcake,145206,baking.soda,8.680541666666666e-4
Cupcake,145206,butter,0
Cupcake,145206,buttermilk,0
Cupcake,145206,chocolate,0
Cupcake,145206,cornmeal,0
Cupcake,145206,cream.cheese,0
Cupcake,145206,eggs,0
Cupcake,145206,flour,0.09375
Cupcake,145206,fruit,0
Cupcake,145206,fruit.juice,0
Cupcake,145206,honey,0.010416666666666666
Cupcake,145206,margarine,0
Cupcake,145206,milk,0.0625
Cupcake,145206,nut,0.04513888333333333
Cupcake,145206,oats,0
Cupcake,145206,oil,0.027777777777777776
Cupcake,145206,other,0
Cupcake,145206,salt,4.340270833333333e-4
Cupcake,145206,sour.cream,0
Cupcake,145206,spice,0
Cupcake,145206,starch,0
Cupcake,145206,sugar,0.05555555555555555
Cupcake,145206,unitless,0
Cupcake,145206,vanilla,0.0034722166666666665
Cupcake,145206,vegetable,0
Cupcake,145206,vinegar,0.0034722166666666665
Cupcake,145206,water,0
Cupcake,145206,yogurt,0
Cupcake,240140,baking.powder,8.680541666666666e-4
Cupcake,240140,baking.soda,6.944433333333333e-4
Cupcake,240140,butter,0.016666666666666666
Cupcake,240140,buttermilk,0
Cupcake,240140,chocolate,0
Cupcake,240140,cornmeal,0
Cupcake,240140,cream.cheese,0.03333333333333333
Cupcake,240140,eggs,0.13333333333333333
Cupcake,240140,flour,0.08333333333333333
Cupcake,240140,fruit,0
Cupcake,240140,fruit.juice,0
Cupcake,240140,honey,0
Cupcake,240140,margarine,0
Cupcake,240140,milk,0
Cupcake,240140,nut,0
Cupcake,240140,oats,0
Cupcake,240140,oil,0.05
Cupcake,240140,other,0
Cupcake,240140,salt,3.4722166666666663e-4
Cupcake,240140,sour.cream,0
Cupcake,240140,spice,0.0024305516666666667
Cupcake,240140,starch,0
Cupcake,240140,sugar,0.16666666666666666
Cupcake,240140,unitless,0
Cupcake,240140,vanilla,0
Cupcake,240140,vegetable,0.05
Cupcake,240140,vinegar,0
Cupcake,240140,water,0
Cupcake,240140,yogurt,0
Cupcake,161019,baking.powder,8.680541666666666e-4
Cupcake,161019,baking.soda,0.0017361083333333333
Cupcake,161019,butter,0
Cupcake,161019,buttermilk,0.041666666666666664
Cupcake,161019,chocolate,0.033854166666666664
Cupcake,161019,cornmeal,0
Cupcake,161019,cream.cheese,0
Cupcake,161019,eggs,0.08333333333333333
Cupcake,161019,flour,0.08333333333333333
Cupcake,161019,fruit,0
Cupcake,161019,fruit.juice,0
Cupcake,161019,honey,0
Cupcake,161019,margarine,0
Cupcake,161019,milk,0
Cupcake,161019,nut,0
Cupcake,161019,oats,0
Cupcake,161019,oil,0.020833333333333332
Cupcake,161019,other,0.041666666666666664
Cupcake,161019,salt,4.340270833333333e-4
Cupcake,161019,sour.cream,0
Cupcake,161019,spice,0
Cupcake,161019,starch,0
Cupcake,161019,sugar,0.08333333333333333
Cupcake,161019,unitless,0.041666666666666664
Cupcake,161019,vanilla,0
Cupcake,161019,vegetable,0
Cupcake,161019,vinegar,0
Cupcake,161019,water,0
Cupcake,161019,yogurt,0
Muffin,16945,baking.powder,0
Muffin,16945,baking.soda,0
Muffin,16945,butter,0.07407407407407407
Muffin,16945,buttermilk,0
Muffin,16945,chocolate,0
Muffin,16945,cornmeal,0
Muffin,16945,cream.cheese,0
Muffin,16945,eggs,0.2222222222222222
Muffin,16945,flour,0.05555555555555555
Muffin,16945,fruit,0
Muffin,16945,fruit.juice,0
Muffin,16945,honey,0
Muffin,16945,margarine,0
Muffin,16945,milk,0
Muffin,16945,nut,0.1111111111111111
Muffin,16945,oats,0
Muffin,16945,oil,0
Muffin,16945,other,0
Muffin,16945,salt,0
Muffin,16945,sour.cream,0
Muffin,16945,spice,0
Muffin,16945,starch,0
Muffin,16945,sugar,0.1111111111111111
Muffin,16945,unitless,0
Muffin,16945,vanilla,0
Muffin,16945,vegetable,0
Muffin,16945,vinegar,0
Muffin,16945,water,0
Muffin,16945,yogurt,0
Muffin,228562,baking.powder,0.0011574055555555556
Muffin,228562,baking.soda,0.002314811111111111
Muffin,228562,butter,0.006944444444444444
Muffin,228562,buttermilk,0
Muffin,228562,chocolate,0
Muffin,228562,cornmeal,0
Muffin,228562,cream.cheese,0
Muffin,228562,eggs,0.16666666666666666
Muffin,228562,flour,0.14583333333333334
Muffin,228562,fruit,0.041666666666666664
Muffin,228562,fruit.juice,0
Muffin,228562,honey,0
Muffin,228562,margarine,0
Muffin,228562,milk,0
Muffin,228562,nut,0
Muffin,228562,oats,0.034722222222222224
Muffin,228562,oil,0.037037037037037035
Muffin,228562,other,0
Muffin,228562,salt,0.0011574055555555556
Muffin,228562,sour.cream,0
Muffin,228562,spice,0.004629622222222222
Muffin,228562,starch,0
Muffin,228562,sugar,0.125
Muffin,228562,unitless,0
Muffin,228562,vanilla,0.0011574055555555556
Muffin,228562,vegetable,0.08333333333333333
Muffin,228562,vinegar,0
Muffin,228562,water,0
Muffin,228562,yogurt,0
Cupcake,215375,baking.powder,0.00130208125
Cupcake,215375,baking.soda,6.51040625e-4
Cupcake,215375,butter,0
Cupcake,215375,buttermilk,0
Cupcake,215375,chocolate,0
Cupcake,215375,cornmeal,0
Cupcake,215375,cream.cheese,0.03125
Cupcake,215375,eggs,0.125
Cupcake,215375,flour,0.0546875
Cupcake,215375,fruit,9.765609375e-4
Cupcake,215375,fruit.juice,0.001953125
Cupcake,215375,honey,0
Cupcake,215375,margarine,0.005859375
Cupcake,215375,milk,0
Cupcake,215375,nut,0
Cupcake,215375,oats,0
Cupcake,215375,oil,0.0234375
Cupcake,215375,other,0
Cupcake,215375,salt,4.8828046875e-4
Cupcake,215375,sour.cream,0
Cupcake,215375,spice,0.0026041625
Cupcake,215375,starch,0.0078125
Cupcake,215375,sugar,0.1875
Cupcake,215375,unitless,0
Cupcake,215375,vanilla,0.00130208125
Cupcake,215375,vegetable,0.05859375
Cupcake,215375,vinegar,0
Cupcake,215375,water,0
Cupcake,215375,yogurt,0
Cupcake,242474,baking.powder,0.00208333
Cupcake,242474,baking.soda,0
Cupcake,242474,butter,0
Cupcake,242474,buttermilk,0
Cupcake,242474,chocolate,0
Cupcake,242474,cornmeal,0
Cupcake,242474,cream.cheese,0
Cupcake,242474,eggs,0.6
Cupcake,242474,flour,0.05
Cupcake,242474,fruit,0
Cupcake,242474,fruit.juice,0
Cupcake,242474,honey,0
Cupcake,242474,margarine,0
Cupcake,242474,milk,0.0125
Cupcake,242474,nut,0
Cupcake,242474,oats,0
Cupcake,242474,oil,0.05
Cupcake,242474,other,0
Cupcake,242474,salt,0.001041665
Cupcake,242474,sour.cream,0
Cupcake,242474,spice,0
Cupcake,242474,starch,0
Cupcake,242474,sugar,0.06666666666666667
Cupcake,242474,unitless,0
Cupcake,242474,vanilla,0.00416666
Cupcake,242474,vegetable,0
Cupcake,242474,vinegar,0
Cupcake,242474,water,0
Cupcake,242474,yogurt,0
Cupcake,233538,baking.powder,0.0031249949999999998
Cupcake,233538,baking.soda,5.208325e-4
Cupcake,233538,butter,0.05
Cupcake,233538,buttermilk,0
Cupcake,233538,chocolate,0
Cupcake,233538,cornmeal,0
Cupcake,233538,cream.cheese,0
Cupcake,233538,eggs,0.3
Cupcake,233538,flour,0.15
Cupcake,233538,fruit,0.015625
Cupcake,233538,fruit.juice,0
Cupcake,233538,honey,0
Cupcake,233538,margarine,0
Cupcake,233538,milk,0.06666666666666667
Cupcake,233538,nut,0
Cupcake,233538,oats,0
Cupcake,233538,oil,0
Cupcake,233538,other,0
Cupcake,233538,salt,0.001041665
Cupcake,233538,sour.cream,0
Cupcake,233538,spice,0
Cupcake,233538,starch,0
Cupcake,233538,sugar,0.13333333333333333
Cupcake,233538,unitless,0
Cupcake,233538,vanilla,0.00208333
Cupcake,233538,vegetable,0
Cupcake,233538,vinegar,0
Cupcake,233538,water,0
Cupcake,233538,yogurt,0
Cupcake,155534,baking.powder,0.002314811111111111
Cupcake,155534,baking.soda,5.787027777777778e-4
Cupcake,155534,butter,0
Cupcake,155534,buttermilk,0
Cupcake,155534,chocolate,0
Cupcake,155534,cornmeal,0
Cupcake,155534,cream.cheese,0
Cupcake,155534,eggs,0
Cupcake,155534,flour,0.1111111111111111
Cupcake,155534,fruit,0
Cupcake,155534,fruit.juice,0
Cupcake,155534,honey,0
Cupcake,155534,margarine,0
Cupcake,155534,milk,0.08333333333333333
Cupcake,155534,nut,0
Cupcake,155534,oats,0
Cupcake,155534,oil,0.027777777777777776
Cupcake,155534,other,0
Cupcake,155534,salt,5.787027777777778e-4
Cupcake,155534,sour.cream,0
Cupcake,155534,spice,0
Cupcake,155534,starch,0
Cupcake,155534,sugar,0.05555555555555555
Cupcake,155534,unitless,0
Cupcake,155534,vanilla,0.0014467569444444443
Cupcake,155534,vegetable,0
Cupcake,155534,vinegar,0.003472222222222222
Cupcake,155534,water,0
Cupcake,155534,yogurt,0
Muffin,6753,baking.powder,0.006944433333333333
Muffin,6753,baking.soda,0
Muffin,6753,butter,0
Muffin,6753,buttermilk,0
Muffin,6753,chocolate,0.0625
Muffin,6753,cornmeal,0
Muffin,6753,cream.cheese,0
Muffin,6753,eggs,0.08333333333333333
Muffin,6753,flour,0.10416666666666667
Muffin,6753,fruit,0
Muffin,6753,fruit.juice,0
Muffin,6753,honey,0
Muffin,6753,margarine,0
Muffin,6753,milk,0.10416666666666667
Muffin,6753,nut,0.08333333333333333
Muffin,6753,oats,0.10416666666666667
Muffin,6753,oil,0.041666666666666664
Muffin,6753,other,0
Muffin,6753,salt,0.0017361083333333333
Muffin,6753,sour.cream,0
Muffin,6753,spice,0
Muffin,6753,starch,0
Muffin,6753,sugar,0.0625
Muffin,6753,unitless,0
Muffin,6753,vanilla,0
Muffin,6753,vegetable,0
Muffin,6753,vinegar,0
Muffin,6753,water,0
Muffin,6753,yogurt,0
Cupcake,242508,baking.powder,8.680541666666666e-4
Cupcake,242508,baking.soda,8.680541666666666e-4
Cupcake,242508,butter,0.041666666666666664
Cupcake,242508,buttermilk,0.027777777777777776
Cupcake,242508,chocolate,0
Cupcake,242508,cornmeal,0
Cupcake,242508,cream.cheese,0
Cupcake,242508,eggs,0.16666666666666666
Cupcake,242508,flour,0.08333333333333333
Cupcake,242508,fruit,0.026041666666666668
Cupcake,242508,fruit.juice,0
Cupcake,242508,honey,0
Cupcake,242508,margarine,0
Cupcake,242508,milk,0
Cupcake,242508,nut,0
Cupcake,242508,oats,0
Cupcake,242508,oil,0.020833333333333332
Cupcake,242508,other,0.020833333333333332
Cupcake,242508,salt,0
Cupcake,242508,sour.cream,0
Cupcake,242508,spice,0
Cupcake,242508,starch,0
Cupcake,242508,sugar,0.4166666666666667
Cupcake,242508,unitless,0.16666666666666666
Cupcake,242508,vanilla,0
Cupcake,242508,vegetable,0
Cupcake,242508,vinegar,0
Cupcake,242508,water,0.020833333333333332
Cupcake,242508,yogurt,0
Cupcake,15494,baking.powder,0
Cupcake,15494,baking.soda,0.0026041625
Cupcake,15494,butter,0
Cupcake,15494,buttermilk,0
Cupcake,15494,chocolate,0.027777777777777776
Cupcake,15494,cornmeal,0
Cupcake,15494,cream.cheese,0
Cupcake,15494,eggs,0
Cupcake,15494,flour,0.125
Cupcake,15494,fruit,0
Cupcake,15494,fruit.juice,0
Cupcake,15494,honey,0
Cupcake,15494,margarine,0
Cupcake,15494,milk,0
Cupcake,15494,nut,0
Cupcake,15494,oats,0
Cupcake,15494,oil,0
Cupcake,15494,other,0.0625
Cupcake,15494,salt,0
Cupcake,15494,sour.cream,0
Cupcake,15494,spice,0
Cupcake,15494,starch,0
Cupcake,15494,sugar,0.08333333333333333
Cupcake,15494,unitless,0
Cupcake,15494,vanilla,0.0017361083333333333
Cupcake,15494,vegetable,0
Cupcake,15494,vinegar,0
Cupcake,15494,water,0.08333333333333333
Cupcake,15494,yogurt,0
Cupcake,137363,baking.powder,0.0026041625
Cupcake,137363,baking.soda,0
Cupcake,137363,butter,0.0390625
Cupcake,137363,buttermilk,0
Cupcake,137363,chocolate,0.046875
Cupcake,137363,cornmeal,0
Cupcake,137363,cream.cheese,0
Cupcake,137363,eggs,0.25
Cupcake,137363,flour,0.09375
Cupcake,137363,fruit,0
Cupcake,137363,fruit.juice,0
Cupcake,137363,honey,0
Cupcake,137363,margarine,0
Cupcake,137363,milk,0.046875
Cupcake,137363,nut,3.255203125e-4
Cupcake,137363,oats,0
Cupcake,137363,oil,0
Cupcake,137363,other,0
Cupcake,137363,salt,3.255203125e-4
Cupcake,137363,sour.cream,0
Cupcake,137363,spice,0
Cupcake,137363,starch,0
Cupcake,137363,sugar,0.078125
Cupcake,137363,unitless,0
Cupcake,137363,vanilla,0.00130208125
Cupcake,137363,vegetable,0
Cupcake,137363,vinegar,0
Cupcake,137363,water,0
Cupcake,137363,yogurt,0
Cupcake,245179,baking.powder,6.51040625e-4
Cupcake,245179,baking.soda,6.51040625e-4
Cupcake,245179,butter,0.015625
Cupcake,245179,buttermilk,0
Cupcake,245179,chocolate,0
Cupcake,245179,cornmeal,0
Cupcake,245179,cream.cheese,0.015625
Cupcake,245179,eggs,0.125
Cupcake,245179,flour,0.0625
Cupcake,245179,fruit,0
Cupcake,245179,fruit.juice,0
Cupcake,245179,honey,0
Cupcake,245179,margarine,0.005208325
Cupcake,245179,milk,0.015625
Cupcake,245179,nut,0
Cupcake,245179,oats,0
Cupcake,245179,oil,0
Cupcake,245179,other,0
Cupcake,245179,salt,3.255203125e-4
Cupcake,245179,sour.cream,0
Cupcake,245179,spice,9.765609375e-4
Cupcake,245179,starch,0
Cupcake,245179,sugar,0.046875
Cupcake,245179,unitless,0
Cupcake,245179,vanilla,0.0026041625
Cupcake,245179,vegetable,0.03125
Cupcake,245179,vinegar,0
Cupcake,245179,water,0
Cupcake,245179,yogurt,0.015625
Muffin,17652,baking.powder,0.00208333
Muffin,17652,baking.soda,0.00208333
Muffin,17652,butter,0.03958333333333333
Muffin,17652,buttermilk,0
Muffin,17652,chocolate,0
Muffin,17652,cornmeal,0
Muffin,17652,cream.cheese,0
Muffin,17652,eggs,0.1
Muffin,17652,flour,0.1625
Muffin,17652,fruit,0
Muffin,17652,fruit.juice,0
Muffin,17652,honey,0
Muffin,17652,margarine,0
Muffin,17652,milk,0
Muffin,17652,nut,0
Muffin,17652,oats,0
Muffin,17652,oil,0
Muffin,17652,other,0
Muffin,17652,salt,0.001041665
Muffin,17652,sour.cream,0
Muffin,17652,spice,2.6041625e-4
Muffin,17652,starch,0
Muffin,17652,sugar,0.10833333333333332
Muffin,17652,unitless,0.1
Muffin,17652,vanilla,0
Muffin,17652,vegetable,0
Muffin,17652,vinegar,0
Muffin,17652,water,0
Muffin,17652,yogurt,0
Muffin,7113,baking.powder,0.0021701354166666666
